2009-01-03,blk00000.dat,293,134215959
2009-01-09,blk00000.dat,516,134215959
2009-01-10,blk00000.dat,3638,134215959
2009-01-11,blk00000.dat,17255,134215959
2009-01-12,blk00000.dat,38032,134215959
2009-01-13,blk00000.dat,60816,134215959
2009-01-14,blk00000.dat,88327,134215959
2009-01-15,blk00000.dat,117635,134215959
2009-01-16,blk00000.dat,148704,134215959
2009-01-17,blk00000.dat,173422,134215959
2009-01-18,blk00000.dat,197822,134215959
2009-01-19,blk00000.dat,222212,134215959
2009-01-20,blk00000.dat,249915,134215959
2009-01-21,blk00000.dat,276446,134215959
2009-01-22,blk00000.dat,300783,134215959
2009-01-23,blk00000.dat,321142,134215959
2009-01-24,blk00000.dat,341071,134215959
2009-01-25,blk00000.dat,387313,134215959
2009-01-26,blk00000.dat,430288,134215959
2009-01-27,blk00000.dat,454091,134215959
2009-01-28,blk00000.dat,476237,134215959
2009-01-29,blk00000.dat,501286,134215959
2009-01-30,blk00000.dat,529752,134215959
2009-01-31,blk00000.dat,555944,134215959
2009-02-01,blk00000.dat,589129,134215959
2009-02-02,blk00000.dat,614690,134215959
2009-02-03,blk00000.dat,643502,134215959
2009-02-04,blk00000.dat,679154,134215959
2009-02-05,blk00000.dat,705779,134215959
2009-02-06,blk00000.dat,733969,134215959
2009-02-07,blk00000.dat,761277,134215959
2009-02-08,blk00000.dat,793309,134215959
2009-02-09,blk00000.dat,823085,134215959
2009-02-10,blk00000.dat,856571,134215959
2009-02-11,blk00000.dat,881396,134215959
2009-02-12,blk00000.dat,904541,134215959
2009-02-13,blk00000.dat,932078,134215959
2009-02-14,blk00000.dat,962189,134215959
2009-02-15,blk00000.dat,987257,134215959
2009-02-16,blk00000.dat,1010265,134215959
2009-02-17,blk00000.dat,1041256,134215959
2009-02-18,blk00000.dat,1069684,134215959
2009-02-19,blk00000.dat,1094980,134215959
2009-02-20,blk00000.dat,1123273,134215959
2009-02-21,blk00000.dat,1150806,134215959
2009-02-22,blk00000.dat,1183280,134215959
